,Country,Region,Year,Month,seces_word,self-det_word,tot_words,Tax_Auto,Referendum,Ruling_cat,Mas_speech,Budget ,Year
,Spain,Basque,2005,Dec,,,,,,,,,2005
,Spain,Basque,2006,Jan,,,,,,,,,2006
,Spain,Basque,2006,Feb,,,,,,,,,2006
,Spain,Basque,2006,Mar,,,,,,,,,2006
,Spain,Basque,2006,Apr,,,,,,,,,2006
,Spain,Basque,2006,May,,,,,,,,,2006
,Spain,Basque,2006,Jun,,,,,,,,,2006
,Spain,Basque,2006,Jul,,,,,,,,,2006
,Spain,Basque,2006,Aug,,,,,,,,,2006
,Spain,Basque,2006,Sep,,,,,,,,,2006
,Spain,Basque,2006,Oct,,,,,,,,,2006
,Spain,Basque,2006,Nov,,,,,,,,,2006
,Spain,Basque,2006,Dec,,,,,,,,,2006
,Spain,Basque,2007,Jan,,,,,,,,,2007
,Spain,Basque,2007,Feb,,,,,,,,,2007
,Spain,Basque,2007,Mar,,,,,,,,,2007
,Spain,Basque,2007,Apr,,,,,,,,,2007
,Spain,Basque,2007,May,,,,,,,,,2007
,Spain,Basque,2007,Jun,,,,,,,,,2007
,Spain,Basque,2007,Jul,,,,,,,,,2007
,Spain,Basque,2007,Aug,,,,,,,,,2007
,Spain,Basque,2007,Sep,,,,,,,,,2007
,Spain,Basque,2007,Oct,,,,,,,,,2007
,Spain,Basque,2007,Nov,,,,,,,,,2007
,Spain,Basque,2007,Dec,,,,,,,,,2007
,Spain,Basque,2008,Jan,,,,,,,,,2008
,Spain,Basque,2008,Feb,,,,,,,,,2008
,Spain,Basque,2008,Mar,,,,,,,,,2008
,Spain,Basque,2008,Apr,,,,,,,,,2008
,Spain,Basque,2008,May,,,,,,,,,2008
,Spain,Basque,2008,Jun,,,,,,,,,2008
,Spain,Basque,2008,Jul,,,,,,,,,2008
,Spain,Basque,2008,Aug,,,,,,,,,2008
,Spain,Basque,2008,Sep,,,,,,,,,2008
,Spain,Basque,2008,Oct,,,,,,,,,2008
,Spain,Basque,2008,Nov,,,,,,,,,2008
,Spain,Basque,2008,Dec,,,,,,,,,2008
,Spain,Basque,2009,Jan,,,,,,,,,2009
,Spain,Basque,2009,Feb,,,,,,,,,2009
,Spain,Basque,2009,Mar,,,,,,,,,2009
,Spain,Basque,2009,Apr,,,,,,,,,2009
,Spain,Basque,2009,May,,,,,,,,,2009
,Spain,Basque,2009,Jun,,,,,,,,,2009
,Spain,Basque,2009,Jul,,,,,,,,,2009
,Spain,Basque,2009,Aug,,,,,,,,,2009
,Spain,Basque,2009,Sep,,,,,,,,,2009
,Spain,Basque,2009,Oct,,,,,,,,,2009
,Spain,Basque,2009,Nov,,,,,,,,,2009
,Spain,Basque,2009,Dec,,,,,,,,,2009
